R0347444431404653023530	Current Bid
R193138312946532753034139424431454531305306353831	Select a Compressed File
R043138314631531946473031404645	Delete Students
R04274631530540444138383130	Date Enrolled
R14415345464730314046455334274831532831314053273030313084	No students have been added.
R043138314631530145453533403931404645	Delete Assignments
R0447315304274631	Due Date
R14415327454535334039314046455334274831532831314053273030313084	No assignments have been added.
R043138314631531747314546354140	Delete Question
R0130305305502739	Add Exam
R05502739531427393177	Exam Name:
R1946274446530427463177	Start Date:
R054030530427463177	End Date:
R05502739531427393153354553443143473544313084	Exam Name is required.
R043138314631530550273945	Delete Exams
R055027395314273931	Exam Name
R14415331502739455334274831532831314053273030313084	No exams have been added.
R747421453144402739317575533427455344314241444631305327533835454635403384	[[Username]] has reported a listing.
R21181277535555595555	URL: ~~#~~
R0153474531445334274553443142414446313053275328273053383545463540335346415351414784	A user has reported a bad listing to you.
R203431533835454635403353283138414953342745532831314053443142414446313053324441395351414744534931284535463184	The listing below has been reported from your website.
R2541475334274831534547292931454532473838515344314241444631305346343545533835454635403353464153463431532730393540354546442746414484	You have successfully reported this listing to the administrator.
R01292941474046530940324144392746354140	Account Information
R25414744530539273538530130304431454553354553443143473544313084	Your Email Address is required.
R0644353140305445530539273538530130304431454553153354553443143473544313084	Friend&#39;s Email Address 1 is required.
R04413838274445	Dollars
R16314429314046	Percent
R0635503130681644352931	Fixed-Price
R1227283138532031504677	Label Text:
R0435452941474046530341303177	Discount Code:
R132744376841323253164435293177	Mark-off Price:
R174727404635465177	Quantity:
R1644413047294653093927333177	Product Image:
R022744530341303153093927333177	Bar Code Image:
R1227283138532031504653354553443143473544313084	Label Text is required.
R03413942274051531427393153354553443143473544313084	Company Name is required.
R0435452938273539314453354553443143473544313084	Disclaimer is required.
R0435452941474046530341303153354553443143473544313084	Discount Code is required.
R174727404635465153354553443143473544313084	Quantity is required.
R0335465153354553443143473544313084	City is required.
R164145462738530341303153354553443143473544313084	Postal Code is required.
R2331284535463153304131455340414653315035454684	Website does not exist.
R013053304131455340414653315035454684	Ad does not exist.
R0431383146315313314545273331654566	Delete Message(s)
R1634414641	Photo
R042746315319314046	Date Sent
R122746314546532331285319354631531641454635403345	Latest Web Site Postings
R13274027333153135153013828473945	Manage My Albums
R013030530138284739	Add Album
R013828473953304131455340414653315035454684	Album does not exist.
R04354529414740465329414742414053304131455340414653315035454684	Discount coupon does not exist.
R03443127463153254147445316444132353831	Create Your Profile
R16444132353831532051423177	Profile Type:
R014730354153063538314577	Audio Files:
R0227293733444147403053034138414477	Background Color:
R2031504653034138414477	Text Color:
R1235403753034138414477	Link Color:
R555559555553274446352938314553424145463130	~~#~~ articles posted
R65014831442733313053555559555553275330275166	(Averaged ~~#~~ a day)
R5555595555532847453540314545314553424145463130	~~#~~ businesses posted
R555559555553493128453546314553424145463130	~~#~~ websites posted
R2145314453492745534041465332414740305335405341474453302746272827453184	User was not found in our database.
R164145465327530247453540314545	Post a Business
R0940482738353053214531444027393153274030864144531627454549414430	Invalid Username and/or Password
R1946473031404653342745532831314053454729293145453247383851534742302746313084	Student has been successfully updated.
R162745454941443053354553443143473544313084	Password is required.
R19312944314653174731454635414053354553443143473544313084	Secret Question is required.
R1931294431465301404549314453354553443143473544313084	Secret Answer is required.
R0635444546531427393153354553443143473544313084	First Name is required.
R12274546531427393153354553443143473544313084	Last Name is required.
R194644313146530130304431454553354553443143473544313084	Street Address is required.
R16344140315314473928314453354553443143473544313084	Phone Number is required.
R162751162738530539273538530130304431454553354553443143473544313084	PayPal Email Address is required.
R183132314444273853354553443143473544313084	Referral is required.
R164145465327405301444635293831	Post an Article
R083127303835403177	Headline:
R0831273038354031530427463177	Headline Date:
R01474634414477	Author:
R1947393927445177	Summary:
R0144463529383153194147442931531427393177	Article Source Name:
R2118125346415346343153014446352938315319414744293177	URL to the Article Source:
R083127303835403153354553443143473544313084	Headline is required.
R0831273038354031530427463153354553443143473544313084	Headline Date is required.
R01474634414453354553443143473544313084	Author is required.
R1947393927445153354553443143473544313084	Summary is required.
R2034314431532744315340415345312744293453443145473846455346415344314647444084	There are no search results to return.
R2334274654455340314953354553443143473544313084	What&#39;s new is required.
R18314238515309403241	Reply Info
R204142352953304131455340414653315035454684	Topic does not exist.
R1931403053275313314545273331	Send a Message
R21453144530940324144392746354140	User Information
R19354631531427393177	Site Name:
R19354631531427393153354553443143473544313084	Site Name is required.
R193546315321181253354553443143473544313084	Site URL is required.
R032746313341445153304131455340414653315035454684	Category does not exist.
R03414744453153304131455340414653315035454684	Course does not exist.
R013030531641453546354140	Add Position
R164145354635414053090477	Position ID:
R03414046272946531427393177	Contact Name:
R133540353947395319273827445177	Minimum Salary:
R132750353947395319273827445177	Maximum Salary:
R0341404627294653163441403177	Contact Phone:
R05304729274635414053183143473544313077	Education Required:
R10412853043145294435424635414077	Job Description:
R10412853203546383153354553443143473544313084	Job Title is required.
R03414046272946531427393153354553443143473544313084	Contact Name is required.
R0341404627294653053927353853354553443143473544313084	Contact Email is required.
R0341404627294653163441403153354553443143473544313084	Contact Phone is required.
R16414546313053025177	Posted By:
R03414046272946530133314046	Contact Agent
R204146273853184141394577	Total Rooms:
R204146273853023130444141394577	Total Bedrooms:
R20414627385302274634444141394577	Total Bathrooms:
R124146531935523177	Lot Size:
R022745352953063127464744314577	Basic Features:
R054831404653304131455340414653315035454684	Event does not exist.
R0341394241453153275313314545273331	Compose a Message
R254147445321453144531427393177	Your User Name:
R20415321453144531427393177	To User Name:
R20415321453144531427393153354553443143473544313084	To User Name is required.
R5555595555533235383145534742384127303130	~~#~~ files uploaded
R555559555553423441464153273828473945	~~#~~ photo albums
R2235314953214531445316444132353831	View User Profile
R0635383153304131455340414653315035454684	File does not exist.
R1641383853304131455340414653315035454684	Poll does not exist.
R16413838530544444144	Poll Error
R74742145314440273931757553454729293145453247383851533841333331305335404641535141474453493128534535463184	[[Username]] successfully logged into your web site.
R2344354646314053025177535555595555	Written By: ~~#~~
R1946414431531427393177	Store Name:
R1946414431531427393153354553443143473544313084	Store Name is required.
R05303546531946414431	Edit Store
R14415335404841352931455334274831532831314053273030313084	No invoices have been added.
R14415342444130472946458645314448352931455334274831532831314053273030313084	No products/services have been added.
R13414046343851	Monthly
R253127443851	Yearly
R1934354242354033	Shipping
R05383129464441403529	Electronic
R382845	lbs
R4152	oz
R043138314631	Delete
R21403546531644352931	Unit Price
R1747274046354651	Quantity
R2041462738531644352931	Total Price
R16444130472946531427393177	Product Name:
R13274047322729464744314477	Manufacturer:
R13413031385314473928314477	Model Number:
R09392733314577	Images:
R2140354653164435293177	Unit Price:
R19343542423540335315424635414077	Shipping Option:
R094631395323313533344677	Item Weight:
R0435393140453541404553651253505323535053086677	Dimensions (L x W x H):
R082740303835403377	Handling:
R09404831404641445177	Inventory:
R13354053154430314453174727404635465177	Min Order Quantity:
R13275053154430314453174727404635465177	Max Order Quantity:
R19112177	SKU:
R193138312946530635383177	Select File:
R01323235383527463153164435293177	Affiliate Price:
R0132323538352746315318312947444435403377	Affiliate Recurring:
R16444130472946531427393153354553443143473544313084	Product Name is required.
R193441444653043145294435424635414053354553443143473544313084	Short Description is required.
R05394238415139314046	Employment
R19312744293453324144532753104128	Search for a Job
R02475153203546383153354553443143473544313084	Buy Title is required.
R1241403353043145294435424635414053354553443143473544313084	Long Description is required.
R1927383153164435293153354553443143473544313084	Sale Price is required.
R154435333540273853222738473153354553443143473544313084	Original Value is required.
R13275053174727404635465153163144532145314453354553443143473544313084	Max Quantity Per User is required.
R1647442934274531530341303153354553443143473544313084	Purchase Code is required.
R0138284739531427393153354553443143473544313084	Album Name is required.
R164145465327532041423529	Post a Topic
R013030532740530146462729343931404677	Add an Attachment:
R0441494038412730	Download
R2235314953164431453140462746354140	View Presentation
R0744273031	Grade
R1441463145	Notes
R03414046272946532145	Contact Us
R03354651538653194627463177	City / State:
R01464627293453323538316545665346415351414744533931454527333153464153474577	Attach file(s) to your message to us:
R034139393140464577	Comments:
R25414744531427393153354553443143473544313084	Your Name is required.
R034139393140464553354553443143473544313084	Comments is required.
R034140462729465314273931	Contact Name
R03414046272946531634414031	Contact Phone
R053942384151393140465320514231	Employment Type
R012841474653133177	About Me:
R012841474653135153132746293477	About My Match:
R1331454527333153354553443143473544313084	Message is required.
R1641454653275303382745453532353130530130	Post a Classified Ad
R164435293153354553443143473544313084	Price is required.
R0641443953304131455340414653315035454684	Form does not exist.
R122746314546530601175445	Latest FAQ&#39;s
R23312746343144530641443129274546	Weather Forecast
R555559555553274729463541404553424145463130	~~#~~ auctions posted
R0247513144	Buyer
R19413830531644352931	Sold Price
R042746315319413830	Date Sold
R1231274831530631313028272937	Leave Feedback
R193138383144	Seller
R1641454653275302384133	Post a Blog
R02384133531427393177	Blog Name:
R0138384149534146343144534745314445534641533831274831535141475329413939314046455341405346343545532838413377	Allow other users to leave you comments on this blog:
R02384133531427393153354553443143473544313084	Blog Name is required.
R1644413235383153304131455340414653315035454684	Profile does not exist.
R164441423144465153304131455340414653315035454684	Property does not exist.
R074431314635403345535555555583	Greetings ~~#~~,
R20342740375351414753324144535141474453424744293427453153274653555559555584530231384149533545532753294142515341325351414744533540484135293184	Thank you for your purchase at ~~#~~. Below is a copy of your invoice.
R174651	Qty
R094048413529315334274553283131405345472929314545324738385153452748313084	Invoice has been successfully saved.
R223531495319344142423540335303274446	View Shopping Cart
R25414744534534414242354033532927444653354553313942465184	Your shopping cart is empty.
R0940482738353053474531445340273931538653422745454941443084	Invalid user name / password.
R254147533427483153454729293145453247383851533841333331305341474684	You have successfully logged out.
R07443131463540334553555559555583	Greetings ~~#~~,
R1638474553555559555553082740303835403353063131	Plus ~~#~~ Handling Fee
R686868531327373153254147445319313831294635414053686868	--- Make Your Selection ---
R22354527	Visa
R13274546314403274430	MasterCard
R01393144352927405305504244314545	American Express
R0435452941483144	Discover
R162751393140465313314634413077	Payment Method:
R03443130354653865304312835465303274430532051423177	Credit / Debit Card Type:
R034431303546538653043128354653032744305314473928314477	Credit / Debit Card Number:
R14273931534140530327443077	Name on Card:
R1931294744354651530341303177	Security Code:
R1544303144530341393931404645775365154246354140273866	Order Comments: (Optional)
R20343153273039354035454644274641445334274553404146532941403235334744313053274051534227513931404653332746314927514584	The administrator has not configured any payment gateways.
R14314945383146463144533241445347453144534641533641354053353253463431515342474429342745315346343545533546313977	Newsletter for user to join if they purchase this item:
R053035465316444130472946	Edit Product
R16275139314046530727463149275145533427483153283131405345472929314545324738385153452748313084	Payment Gateways have been successfully saved.
R162751162738	PayPal
R154430314453144739283144535555595555	Order Number ~~#~~
R14414653012946354831	Not Active
R01303053133139283144	Add Member
R033546515386532041494077	City / Town:
R1946274631538653164441483540293177	State / Province:
R0344313035464577	Credits:
R01292931454553033827454577	Access Class:
R012929314545531131514577	Access Keys:
R183132314444273853652145314453142739316677	Referral (User Name):
R233128453546315321181277	Website URL:
R183143473544315327474634414435522746354140532831324144315341463431444553292740532730305346343545534745314453464153463431354453324435314030533835454677	Require authorization before others can add this user to their friend list:
R214531445319462746474577	User Status:
R0530354653133139283144	Edit Member
R053035465321453144	Edit User
R143149530129463548354651	New Activity
R1546343144	Other
R013232353835274631530441494038354031	Affiliate Downline
R05392735385321453144	Email User
R1431495309404841352931	New Invoice
R162745454941443053394745465329414046273540534140315341325358596061626364865784	Password must contain one of @#$%^&amp;*/!.
R13313928314453342745532831314053454729293145453247383851534742302746313084	Member has been successfully updated.
R194729293145453247383851	Successfully
R03474546413953323531383053274045493144533427483153283131405345274831305345472929314545324738385184	Custom field answer have been saved successfully.
R03443127463153254147445319354631	Create Your Site
R193546315319384133274077	Site Slogan:
R193441495351414744534535463153414053463431534535463153383545463540334577	Show your site on the site listings:
R16414446273853464153274545412935274631535141474453474531445345354631534935463477	Portal to associate your user site with:
R13273731535141474453493128534535463153354048354631534140385177	Make your web site invite only:
R233128531935463153203139423827463177	Web Site Template:
R20313942382746310904533545534431434735443130	TemplateID is required
R23312853453546315334274553283131405345472929314545324738385153273030313084	Web site has been successfully added.
R2235453546414445	Visitors
R55555955555332414447395346344431273045	~~#~~ forum threads
R5555595555534244414231444635314553424145463130	~~#~~ properties posted
R1681053053942384151313145	1-10 Employees
R11682553053942384151313145	11-25 Employees
R26685053053942384151313145	26-50 Employees
R516810053053942384151313145	51-100 Employees
R1016820053053942384151313145	101-200 Employees
R2016850053053942384151313145	201-500 Employees
R154831445350053053942384151313145	Over 500 Employees
R14414653194231293532353130	Not Specified
R01474641394146354831	Automotive
R0247453540314545531931444835293145	Business Services
R03413942474631444586053831464441403529	Computers/Eletronic
R034140454644472946354140	Construction
R053047292746354140	Education
R06414130536353043540354033	Food &amp; Dining
R0831273846345363531331303529354031	Health &amp; Medicine
R08413931536353072744303140	Home &amp; Garden
R1231332738536353063540274029352738	Legal &amp; Financial
R1327404732272946474435403386233441383145273831	Manufacturing/Wholesale
R133144293427404645536518314627353866	Merchants (Retail)
R13354529313838274031414745	Miscellaneous
R1631444541402738531931444835293145	Personal Services
R20442748313886204427404542414446	Travel/Transport
R13515303413942274051	My Company
R03413942274051531241334177	Company Logo:
R1447392831445341325305394238415131314577	Number of Employees:
R094030474546445177	Industry:
R0341394227405153043145294435424635414077	Company Description:
R0940482738353053014446352938310904	Invalid ArticleID
R135153183145473931	My Resume
R1831454739315306353831531427393177	Resume File Name:
R21423841273053275318314547393177	Upload a Resume:
R194641443153342745532831314053454729293145453247383851534742302746313084	Store has been successfully updated.
R1934414242354033531327383853342745532831314053454729293145453247383851534742302746313084	Shopping Mall has been successfully updated.
R063531383014273931533545534431434735443130	FieldName is required
R164441304729465334274553283131405345472929314545324738385153273030313084	Product has been successfully added.
R1644413047294653342745532831314053454729293145453247383851534742302746313084	Product has been successfully updated.
R25414744530627293128414137530142425309045365123127483153283827403753464153303545272838316677802844538681073146534634315301160953113151532851534535334035403353474253802753344431327079344646424577868630314831384142314445843227293128414137842941398627424245795346274433314670796728382740377981343144318086278184	Your Facebook App ID (Leave blank to disable):&lt;br /&gt;Get the API Key by signing up &lt;a href=&quot;https://developers.facebook.com/apps&quot; target=&quot;_blank&quot;&gt;here&lt;/a&gt;.
R074141333831534431030116200308015316472838352953113151536512312748315328382740375346415330354527283831667780284453868107314653463431530116095311315153285153453533403540335347425380275334443132707934464642778686494949843341413338318429413986443129274246293427795346274433314670796728382740377981343144318086278184	Google reCAPTCHA Public Key (Leave blank to disable):&lt;br /&gt;Get the API Key by signing up &lt;a href=&quot;http://www.google.com/recaptcha&quot; target=&quot;_blank&quot;&gt;here&lt;/a&gt;.
R07414133383153443103011620030801531644354827463153113151536512312748315328382740375346415330354527283831667780284453868107314653463431530116095311315153285153453533403540335347425380275334443132707934464642778686494949843341413338318429413986443129274246293427795346274433314670796728382740377981343144318086278184	Google reCAPTCHA Private Key (Leave blank to disable):&lt;br /&gt;Get the API Key by signing up &lt;a href=&quot;http://www.google.com/recaptcha&quot; target=&quot;_blank&quot;&gt;here&lt;/a&gt;.
R014027385146352945530904536512312748315328382740375346415330354527283831667780284453868107314653463431530904532851533341354033538027533444313270793446464245778686274027385146352945843341413338318429413986274027385146352945864931288659344139318679534627443331467079672838274037798134314431808627818453203431530140273851463529455309045349353838532831534634315338314646314445532740305340473928314445534031504653464153514147445349312853453546315340273931532732463144535141475329443127463153514147445345354631845365315084532424685555555568566	Analytics ID (Leave blank to disable):&lt;br /&gt;Get the ID by going &lt;a href=&quot;https://analytics.google.com/analytics/web/#home/&quot; target=&quot;_blank&quot;&gt;here&lt;/a&gt;. The Analytics ID will be the letters and numbers next to your web site name after you create your site. (ex. XX-55555555-5)
R01402738514635294553033835314046530904536512312748315328382740375346415330354527283831667780284453868107314653463431530338353140465309045328515333413540335380275334443132707934464642457786862941404541383184303148313841423144458433414133383184294139795346274433314670796728382740377981343144318086278153274030532938352937354033537905402728383153011609795327403053453138312946530741413338315301402738514635294553464153333140314427463153275303383531404653090484	Analytics Client ID (Leave blank to disable):&lt;br /&gt;Get the Client ID by going &lt;a href=&quot;https://console.developers.google.com&quot; target=&quot;_blank&quot;&gt;here&lt;/a&gt; and clicking &quot;Enable API&quot; and select Google Analytics to generate a Client ID.
R094046313344274635414045	Integrations
R214238412730532541474453163529464744314577	Upload Your Pictures:
R254147533427483153454729293145453247383851534531404653274053313927353853464153514147445332443531403084	You have successfully sent an email to your friend.
R2541475334274831533140463144313053274053354048273835305344310327424629342784	You have entered an invalid reCaptcha.
R1946414431532145314453304131455340414653315035454684	Store User does not exist.
R0431383146315319343542423540335313314634413045	Delete Shipping Methods
R1331463441305314273931	Method Name
R144153453435424235403353393146344130455334274831532831314053273030313084	No shipping methods have been added.
R133146344130531427393177	Method Name:
R0327444435314477	Carrier:
R1934354242354033531931444835293177	Shipping Service:
R0431383548314451532035393177	Delivery Time:
R23313533344653123539354677	Weight Limit:
R133146344130531427393153354553443143473544313084	Method Name is required.
R2541475339474546532941403235334744315351414744534547424241444631305345343542423540335339314634413045532831324144315327303035403353414031	You must configure your supported shipping methods before adding one
R254147445345312744293453342745534431464744403130534041534431454738464584	Your search has returned no results.
R19312947443546515345472929314545324738385153452748313084	Security successfully saved.
R19464144315334274553283131405345472929314545324738385153273030313084	Store has been successfully added.
R254147532947444431404638515330415340414653342748315327405153393145452733314584	You currently do not have any messages.
R0940284150	Inbox
R19314046530946313945	Sent Items
R03413942414531	Compose
R0635403053275321453144	Find a User
R02384129373130532145314445	Blocked Users
R19414444518353514147533041534041465334274831532729293145455346415346343545534227333184	Sorry, you do not have access to this page.
R19314646354033455345472929314545324738385153452748313084	Settings successfully saved.
R1641383853174731454635414077	Poll Question:
R1641383853174731454635414053354553443143473544313084	Poll Question is required.
R16413838455334274553283131405345472929314545324738385153273030313084	Polls has been successfully added.
R164138385334274553283131405345472929314545324738385153273030313084	Poll has been successfully added.
R747421453144402739317575533427455348414631305332414453275342413838	[[Username]] has voted for a poll
R22414631305306414477535555595555	Voted For: ~~#~~
R7474214531444027393175755334274553442746313053275338354546354033	[[Username]] has rated a listing
R25414753342748315327384431273051534841463130533241445346343545534241383884	You have already voted for this poll.
R164144462738531427393177	Portal Name:
R044139273540531427393177	Domain Name:
R16414446273853122740334727333177	Portal Language:
R16414446273853203139423827463177	Portal Template:
R19354631531241334177	Site Logo:
R1131514553464153384133354053464153463435455342414446273877	Keys to login to this portal:
R113151455346415339274027333153463435455342414446273877	Keys to manage this portal:
R08353031534241444627385332444139534534414935403353414053303544312946414451533835454684	Hide portal from showing on directory list.
R164144462738531427393153354553443143473544313084	Portal Name is required.
R2031394238274631531542463541404577	Template Options:
R164144462738455334274553283131405345472929314545324738385153273030313084	Portals has been successfully added.
R1641444627385334274553283131405345472929314545324738385153273030313084	Portal has been successfully added.
R0530354653164144462738	Edit Portal
R0347444431404653164144462738	Current Portal
R05402728383153233128531627333177	Enable Web Page:
R12354037532031504677	Link Text:
R1931383129465327531331404777	Select a Menu:
R193138312946532753032746313341445177	Select a Category:
R12354546534931285342273331455335405346343153324138384149354033534241444627384577	List web pages in the following portals:
R12354037532031504653354553443143473544313084	Link Text is required.
R05303546532331285316273331	Edit Web Page
R012929414740465309403241532041425313314047	Account Info Top Menu
R01292941474046530940324153132735405313314047	Account Info Main Menu
R23312853422733315334274553283131405345472929314545324738385153452748313084	Web page has been successfully saved.
R1542314053133145453140333144	Open Messenger
R023841335334274553283131405345472929314545324738385153273030313084	Blog has been successfully added.
R555559555553342745532730303130532753403149532838413384	~~#~~ has added a new blog.
R053035465302384133	Edit Blog
R0238413353342745532831314053454729293145453247383851534742302746313084	Blog has been successfully updated.
R39354047463145	minutes
R3441474445	hours
R0940482738353053164441323538310904	Invalid ProfileID
R214531445316444132353831455334274553283131405345472929314545324738385153273030313084	User Profiles has been successfully added.
R5555595555533427455347423027463130534634313544534244413235383184	~~#~~ has updated their profile.
R164441323538315334274553283131405345472929314545324738385153273030313084	Profile has been successfully added.
R223531495313515316444132353831	View My Profile
R02384133654566534546274647455334274553283131405345472929314545324738385153452748313084	Blog(s) status has been successfully saved.
R20343545532747294635414053342745532738443127305153314030313084	This auction has already ended.
R1227463145465301444635293831531641454635403345	Latest Article Postings
R14415327444635293831455334274831532831314053273030313084	No articles have been added.
R02272937	Back
R183145414744293145	Resources
R063538315314273931	File Name
R122745465321423027463130	Last Updated
R194147442931	Source
R214238412730	Upload
R1537	Ok
R06413830314477	Folder:
R03443127463153064138303144	Create Folder
R44414146	root
R014431535141475345474431535141475349274046534641533031383146315346343153453138312946313053323538314582	Are you sure you want to delete the selected files?
R0144315351414753454744315351414753492740465346415330313831463153463435455332413830314482	Are you sure you want to delete this folder?
R01444635293831455334274553283131405345472929314545324738385153273030313084	Articles has been successfully added.
R555559555553342745532730303130532740532744463529383184	~~#~~ has added an article.
R014446352938315334274553283131405345472929314545324738385153273030313084	Article has been successfully added.
R053035465301444635293831	Edit Article
R18274635403353194729293145453247383851531927483130	Rating Successfully Saved
R182746313077535555595555534546274445	Rated: ~~#~~ stars
R182746354033533427455328313140534547292931454532473838515329413942383146313084	Rating has been successfully completed.
R14415327472946354140532730455334274831532831314053273030313084	No auction ads have been added.
R0635383153342745532831314053454729293145453247383851533031383146313084	File has been successfully deleted.
R01472946354140455334274553283131405345472929314545324738385153273030313084	Auctions has been successfully added.
R555559555553342745532730303130532740533546313953324144532747294635414084	~~#~~ has added an item for auction.
R01305334274553283131405345472929314545324738385153273030313084	Ad has been successfully added.
R7474214531444027393175755334274553283530303130533241445327405327472946354140	[[Username]] has bidded for an auction
R0147294635414053463546383177535555595555	Auction title: ~~#~~
R19343542423540335329342744333145533927515327424238515330314231403035403353414053463431534531383831445327403053354631395351414753274431534144303144354033	Shipping charges may apply depending on the seller and item you are ordering
R2541475329274040414653283530534140535141474453414940533546313984	You cannot bid on your own item.
R144153284745354031454531455334274831532831314053273030313084	No businesses have been added.
R053035465301472946354140	Edit Auction
R014729463541404553342745532831314053454729293145453247383851534742302746313084	Auctions has been successfully updated.
R013053342745532831314053454729293145453247383851534742302746313084	Ad has been successfully updated.
R555559555553342745534742384127303130532753403149533235383184	~~#~~ has uploaded a new file.
R555559555553342745532730303130532753403149534641423529534641534634315332414447394584	~~#~~ has added a new topic to the forums.
R555559555553342745532730303130532753383540375346415346343153383540375330354431294641445184	~~#~~ has added a link to the link directory.
R555559555553342745532730303130532753284745354031454584	~~#~~ has added a business.
R0247453540314545530435443129464144515334274553283131405345472929314545324738385153273030313084	Business Directory has been successfully added.
R024745354031454553383545463540335334274553283131405345472929314545324738385153273030313084	Business listing has been successfully added.
R05303546530247453540314545	Edit Business
R02474535403145455304354431294641445153342745532831314053454729293145453247383851534742302746313084	Business Directory has been successfully updated.
R0247453540314545533835454635403353342745532831314053454729293145453247383851534742302746313084	Business listing has been successfully updated.
R03382745453532353130530130455334274553283131405345472929314545324738385153273030313084	Classified Ads has been successfully added.
R555559555553342745532730303130532753403149532938274545353235313053273084	~~#~~ has added a new classified ad.
R033827454535323531305327305334274553283131405345472929314545324738385153273030313084	Classified ad has been successfully added.
R053035465303382745453532353130530130	Edit Classified Ad
R033827454535323531305301304553342745532831314053454729293145453247383851534742302746313084	Classified Ads has been successfully updated.
R0338274545353235313053273053342745532831314053454729293145453247383851534742302746313084	Classified ad has been successfully updated.
R25414753292740404146534247442934274531535141474453414940533546313984	You cannot purchase your own item.
R747421453144402739317575533427455328414733344653275329382745453532353130532730	[[Username]] has bought a classified ad
R164435293177535555595555	Price: ~~#~~
R254147533427483153454729293145453247383851534547283935464631305351414744534144303144534641534634315345313838314484	You have successfully submitted your order to the seller.
R034140462729465346343153193138383144	Contact the Seller
R034139424145315327531431495313314545273331	Compose a New Message
R15368530841444435283831	1 - Horrible
R253685316414144	2 - Poor
R353685306273544	3 - Fair
R453685307414130	4 - Good
R5536853055029313838314046	5 - Excellent
R18274635403377	Rating:
R18274635403353354553443143473544313084	Rating is required.
R1934354242354033531331463441305334274553283131405345472929314545324738385153273030313084	Shipping Method has been successfully added.
R23312853162733315334274553283131405345472929314545324738385153273030313084	Web Page has been successfully added.
R23312853422733315334274553283131405345472929314545324738385153273030313084	Web page has been successfully added.
R23312853193546315334274553283131405345472929314545324738385153273030313084	Web Site has been successfully added.
R16273331532035463831	Page Title
R2541475334274831534547292931454532473838515329443127463130535141474453493128534535463184	You have successfully created your web site.
R254147532927405327303053274030533130354653514147445349312853422733314553283138414984	You can add and edit your web pages below.
R03414032353347442746354140	Configuration
R132740273331531627333145	Manage Pages
R0130305327532331285316273331	Add a Web Page
R2235314953254147445319354631	View Your Site
R1627454549414430533241445346343545531627333177	Password for this Page:
R1627333153203546383153354553443143473544313084	Page Title is required.
R233128531627333153342745532831314053454729293145453247383851534742302746313084	Web Page has been successfully updated.
R30275145	days
R5555595555532838413345532730303130	~~#~~ blogs added
R1827463540335302443127373041494053285153163144354130	Rating Breakdown by Period
R122745465375304275145	Last 7 Days
R12274546531341404634	Last Month
R122745465325312744	Last Year
R15483144273838	Overall
R18274635403353204146273845	Rating Totals
R214531445318274635403377	User Rating:
R25414753493538385340414653453131534634314531534635424553274051533941443184	You will not see these tips any more.
R0435452941474046530341474241405334274553283131405345472929314545324738385153273030313084	Discount Coupon has been successfully added.
R55555955555334274553273030313053275340314953303545294147404684	~~#~~ has added a new discount.
R05303546530435452941474046	Edit Discount
R04354529414740465303414742414053342745532831314053454729293145453247383851534742302746313084	Discount Coupon has been successfully updated.
R043545294147404665456653342745532831314053454729293145453247383851533031383146313084	Discount(s) has been successfully deleted.
R393540474631	minute
R034139393140465334274553283131405345472929314545324738385153273030313084	Comment has been successfully added.
R1931383129465327405301473035415306353831	Select an Audio File
R19313831294653275304412947393140465306353831	Select a Document File
R0441494038412730455334274553283131405345472929314545324738385153273030313084	Downloads has been successfully added.
R2142384127305334274553283131405345472929314545324738385153273030313084	Upload has been successfully added.
R0327460904533545534431434735443130	CatID is required
R22353149530441494038412730	View Download
R03274631334144515335455330354527283831305332444139533130354635403384	Category is disabled from editing.
R03274631334144515334274553283131405345472929314545324738385153273030313084	Category has been successfully added.
R183142382729315346343153093927333153023138414977	Replace the Image Below:
R093927333153342745532831314053454729293145453247383851533031383146313084	Image has been successfully deleted.
R16414546532753060117	Post a FAQ
R2541475329474444314046385153342748315340415327454535334039314046455330473184	You currently have no assignments due.
R053035465301292941474046	Edit Account
R1544303144531946274645	Order Stats
R013232353835274631531946274645	Affiliate Stats
R0132323538352746315320443131	Affiliate Tree
R16444132353831	Profile
R05483140465334274553283131405345472929314545324738385153273030313084	Event has been successfully added.
R555559555553342745532730303130532753314831404684	~~#~~ has added a event.
R05303546530548314046	Edit Event
R054831404653342745532831314053454729293145453247383851534742302746313084	Event has been successfully updated.
R0940454644472946414477	Instructor:
R034147444531531427393177	Course Name:
R03414744453153164435293177	Course Price:
R0940454644472946414453354553443143473544313084	Instructor is required.
R034147444531531427393153354553443143473544313084	Course Name is required.
R0344313035464553354553443143473544313084	Credits is required.
R03414744453153164435293153354553443143473544313084	Course Price is required.
R0530354653034147444531	Edit Course
R03414744453153342745532831314053454729293145453247383851534742302746313084	Course has been successfully updated.
R0341474445315334274553283131405345472929314545324738385153273030313084	Course has been successfully added.
R1431493145465303414744453145	Newest Courses
R1641454653275322414729343144	Post a Voucher
R203431530130393540354546442746414453304131455340414653342748315316031831294447354631445345314647425329474444314046385184	The Administrator does not have PCRecruiter setup currently.
R0932535141475327443153463431530130393540354546442746414453423831274531533341534641534634315327303935405329414045413831532740305329343129375351414744534531464635403345534740303144530731403144273853193146474284	If you are the Administrator please go to the admin console and check your settings under General Setup.
R135153164145354635414045	My Positions
R164145465327531641453546354140	Post a Position
R5555595555532941474241404553424145463130	~~#~~ coupons posted
R194647303140465334274553283131405345472929314545324738385153273030313084	Student has been successfully added.
